subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,Kutumia TEHAMA kutafuta maana ya maneno mapya kutoka katika matini aliyoisoma,Kutumia TEHAMA Kutafuta Maana za Maneno Mapya,8,Utafiti mdogo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia TEHAMA kutafuta maana ya maneno mapya kutoka katika matini aliyoisoma.,Kompyuta au simu janja|Intaneti|Kamusi ya kidijitali,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Teknolojia ya Habari na Mawasiliano (TEHAMA) hutoa njia za haraka na rahisi za kutafuta maana ya maneno mapya yanayojitokeza katika usomaji.,"Wanafunzi wanaweza kutumia kamusi za kidijitali, mitandao ya intaneti au programu za simu kutafuta maana, matamshi na matumizi ya maneno mapya. Ustadi huu huwaandaa kukabiliana na msamiati mgumu kwa haraka bila kutegemea kamusi za karatasi pekee. Ni muhimu kuthibitisha usahihi wa vyanzo vinavyotumika ili kupata maana sahihi.","Mfano, mwanafunzi anapokutana na neno tunduizi katika matini, aweza kulitafuta kwenye kamusi ya kidijitali na kupata maana yake ya kuchunguza kwa makini.",Wanafunzi hutumia simu janja kutafuta maana za maneno wanapokutana na msamiati mgumu katika magazeti au vitabu vya nje ya darasa.,"TEHAMA inaweza kutumika vipi katika kujifunza msamiati mpya?::Kwa kutafuta maana za maneno kupitia kamusi za kidijitali au mitandao ya intaneti.||Taja chombo kimoja cha TEHAMA kinachoweza kutumika kutafuta maana ya neno.::Simu janja, kompyuta au kamusi mtandaoni.||Kwa nini ni muhimu kuthibitisha usahihi wa chanzo cha TEHAMA?::Ili kuepuka kupata maana zisizo sahihi au za kupotosha.",
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kutumia kamusi katika miktadha mbalimbali,Kutumia msamiati kwa usahihi katika mazungumzo na maandishi,Matumizi Sahihi ya Msamiati katika Mazungumzo na Maandishi,8,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia msamiati kwa usahihi katika mazungumzo na maandishi.,Kamusi ya Kiswahili|Kadi za msamiati|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Msamiati ni jumla ya maneno yanayotumiwa na jamii ya lugha fulani, na matumizi yake sahihi huongeza ufasaha wa mzungumzaji na mwandishi.","Kutumia msamiati kwa usahihi kunahusisha kuelewa maana halisi na ya kimatumizi ya neno pamoja na muktadha unaofaa. Maneno mengi ya Kiswahili yana visawe (maneno yenye maana karibu), hivyo mzungumzaji au mwandishi anapaswa kuchagua neno linalofaa zaidi kulingana na hali husika. Matumizi mabaya ya msamiati yaweza kubadilisha au kuharibu ujumbe uliokusudiwa.","Mfano, maneno kama nyumba, boma na kasri yote huelezea makazi lakini hutumika katika miktadha tofauti kulingana na ukubwa na hadhi ya jengo.",Wanafunzi hutumia msamiati sahihi wanapoandika insha au wanapozungumza na wageni ili kuwasilisha ujumbe wao kwa ufasaha.,"Msamiati ni nini?::Ni jumla ya maneno yanayotumiwa na wazungumzaji wa lugha fulani.||Toa mfano wa maneno mawili yenye maana karibu (visawe).::Nyumba na boma, au furaha na shangwe.||Kwa nini uteuzi sahihi wa msamiati ni muhimu katika mawasiliano?::Huwasilisha ujumbe kwa usahihi na huepusha utata katika mawasiliano.",
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kutumia kamusi katika miktadha mbalimbali,Kutumia taarifa mbalimbali za kamusi katika mawasiliano ya mazungumzo na maandishi,Kutumia Taarifa za Kamusi katika Mawasiliano,8,Utafiti mdogo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia taarifa mbalimbali za kamusi katika mawasiliano ya mazungumzo na maandishi.,Kamusi za Kiswahili|Karatasi za mazoezi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Kamusi si tu chombo cha kutafuta maana ya maneno bali pia hutoa taarifa kuhusu matamshi, aina ya neno, matumizi na hata asili yake.","Kamusi bora huonyesha aina ya neno (nomino, kitenzi, kivumishi), namna ya kuandikwa, na wakati mwingine sentensi mfano za matumizi. Mwanafunzi anayejua kusoma kamusi vizuri huweza kutumia taarifa hizi kuboresha usahihi wa lugha yake katika mazungumzo na maandishi. Ni muhimu kufahamu vifupisho vinavyotumika ndani ya kamusi kama vile nm. kwa nomino na kt. kwa kitenzi.","Mfano, kamusi inapoonyesha neno kimbia kt. (kitenzi) maana yake ni kwenda kasi kwa miguu, mwanafunzi anajua ni kitenzi na anaweza kukitumia ipasavyo katika sentensi.",Wanafunzi hutumia kamusi wanapoandika insha au ripoti ili kuhakikisha tahajia na matumizi sahihi ya maneno.,Taja taarifa mbili zinazopatikana katika kamusi mbali na maana ya neno.::Aina ya neno na matamshi (au sentensi mfano).||Kifupisho nm. katika kamusi kinamaanisha nini?::Nomino.||Kwa nini ni muhimu kujua kutumia kamusi vizuri?::Husaidia kupata maana sahihi na taarifa za kisarufi za neno kwa ajili ya mawasiliano bora.,
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,"Kuzungumza kwa ufasaha katika miktadha mbalimbali (mf. nyumbani, shuleni na hospitalini)",Kuzungumza kwa Ufasaha katika Miktadha Mbalimbali,8,Igizo,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kuzungumza kwa ufasaha katika miktadha mbalimbali kama nyumbani, shuleni na hospitalini.",Kadi za miktadha|Vifaa vya kuigiza|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Ufasaha wa lugha hubadilika kulingana na mahali au hali (muktadha) anapozungumza mtu, kwani kila mazingira yana kanuni zake za mawasiliano.","Mzungumzaji stadi hutambua tofauti ya lugha inayotumika nyumbani, ambayo mara nyingi ni ya kawaida na ya karibu, na lugha inayotumika hospitalini au shuleni, ambayo huwa rasmi zaidi. Uwezo wa kubadilisha mtindo wa lugha kulingana na muktadha huitwa umilisi wa kimawasiliano. Hii huzingatia pia hadhira, lengo la mazungumzo na uhusiano baina ya wazungumzaji.","Mfano, mwanafunzi anapozungumza na mzazi wake nyumbani hutumia lugha ya karibu, lakini anapozungumza na daktari hospitalini hutumia lugha rasmi na yenye heshima zaidi.",Wanafunzi hubadilisha mtindo wa mazungumzo wanapohama kutoka nyumbani kwenda shuleni au kliniki ili kuendana na muktadha husika.,"Muktadha katika mazungumzo ni nini?::Ni mazingira au hali inayoathiri jinsi lugha inavyotumika.||Toa mfano wa lugha inayofaa kutumika hospitalini.::Lugha rasmi na yenye heshima, mfano: Daktari, ninaomba msaada wako.||Kwa nini ni muhimu kubadilisha mtindo wa lugha kulingana na muktadha?::Ili kuendana na matarajio ya hadhira na kufanikisha mawasiliano bora.",
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,Kutumia lugha kwa ufasaha katika malumbano ya hoja,Ufasaha wa Lugha katika Malumbano ya Hoja,8,Mdahalo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia lugha kwa ufasaha katika malumbano ya hoja.,Mada za mdahalo|Kengele ya muda|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Malumbano ya hoja ni mashindano ya kimawasiliano ambapo pande mbili hutetea msimamo wao kwa hoja madhubuti na lugha fasaha.,"Katika malumbano, kila upande hutakiwa kutoa hoja zenye ushahidi na kuzitetea kwa lugha ya heshima bila kumdhalilisha mpinzani. Ufasaha hujumuisha matumizi sahihi ya msamiati, muundo mzuri wa sentensi na kujiamini wakati wa kuzungumza. Msemaji hodari hujibu hoja za mpinzani kwa kufuata mantiki na si kwa hisia.","Mfano, katika mdahalo kuhusu Elimu ya bure ina manufaa zaidi kuliko madhara, kila kikundi hutoa hoja tatu zenye mifano halisi kuunga mkono msimamo wake.",Wanafunzi hushiriki mashindano ya mdahalo shuleni wakitumia ufasaha wa lugha kutetea hoja zao mbele ya hadhira.,"Malumbano ya hoja ni nini?::Ni mashindano ya kimawasiliano ambapo pande mbili hutetea misimamo tofauti kwa hoja na ushahidi.||Taja sifa moja ya msemaji fasaha katika mdahalo.::Kujiamini, matumizi sahihi ya lugha, na kutoa hoja zenye mantiki.||Kwa nini ni muhimu kuepuka kumdhalilisha mpinzani katika mdahalo?::Ili kudumisha heshima na kuzingatia maadili ya majadiliano yenye staha.",
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali,Kujieleza kwa ufasaha kwa maandishi katika miktadha mbalimbali,Kujieleza kwa Maandishi katika Miktadha Mbalimbali,8,Kazimradi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kujieleza kwa ufasaha kwa maandishi katika miktadha mbalimbali.,Mifano ya barua na ujumbe|Karatasi na kalamu|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Kujieleza kwa maandishi ni uwezo wa kuwasilisha mawazo, hisia au taarifa kwa njia ya maandishi kulingana na muktadha unaokusudiwa.","Aina za maandishi hutofautiana kulingana na madhumuni, kama vile barua rasmi, ujumbe wa kawaida, au taarifa fupi. Mwandishi stadi huzingatia mtindo, msamiati na muundo unaofaa kwa muktadha husika, iwe ni maandishi rasmi kwa mwalimu au maandishi ya kawaida kwa rafiki. Uwazi, ufupi na usahihi wa kisarufi ni vigezo muhimu vya maandishi bora.","Mfano, barua kwa mkuu wa shule kuomba ruhusa huandikwa kwa mtindo rasmi, tofauti na ujumbe mfupi kwa rafiki unaoweza kutumia lugha ya kawaida zaidi.","Wanafunzi huandika barua za maombi, ujumbe wa simu na taarifa mbalimbali kulingana na mahitaji ya kila siku nyumbani na shuleni.","Taja aina mbili za maandishi zinazotofautiana kimtindo.::Barua rasmi na ujumbe wa kawaida.||Ni vigezo gani muhimu vya maandishi bora?::Uwazi, ufupi na usahihi wa kisarufi.||Kwa nini muktadha ni muhimu wakati wa kuandika?::Huamua mtindo, lugha na muundo unaofaa kutumika katika maandishi.",
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuandika habari kwa kuzingatia upatanisho wa kisarufi (kwa kuzingatia ngeli za nomino na viambishi vya upatanisho),Upatanisho wa Kisarufi: Ngeli za Nomino,14,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika habari kwa kuzingatia upatanisho wa kisarufi wa ngeli za nomino na viambishi vya upatanisho.,Chati ya ngeli za nomino|Kadi za mazoezi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Upatanisho wa kisarufi ni kanuni inayotawala uhusiano kati ya nomino na maneno mengine yanayoiambatana kama vivumishi na vitenzi kulingana na ngeli yake.,"Nomino za Kiswahili zimegawanywa katika ngeli mbalimbali kama A-WA, I-ZI, U-ZI na LI-YA, na kila ngeli ina viambishi vyake vya upatanisho vinavyoathiri vitenzi na vivumishi vinavyoiambatana. Mwandishi anayezingatia upatanisho sahihi huhakikisha kuwa kiambishi cha kitenzi kinaendana na ngeli ya nomino inayotenda kitendo. Makosa ya upatanisho huvuruga usahihi wa lugha na kubadilisha maana.","Mfano: Mtoto anacheza (ngeli A-WA, kiambishi a-) ikilinganishwa na Kitabu kinasomwa (ngeli KI-VI, kiambishi ki-) huonyesha jinsi kiambishi kinavyobadilika kulingana na ngeli ya nomino.",Wanafunzi huandika habari na insha shuleni wakizingatia upatanisho sahihi wa ngeli ili lugha yao iwe sanifu na sahihi.,"Upatanisho wa kisarufi ni nini?::Ni kanuni inayotawala uhusiano wa kiambishi kati ya nomino na maneno mengine yanayoiambatana kulingana na ngeli yake.||Taja ngeli mbili za nomino katika Kiswahili.::A-WA na I-ZI (au KI-VI, U-ZI, LI-YA).||Andika sentensi sahihi ya upatanisho kwa nomino Watoto (wengi).::Watoto wanacheza uwanjani.",
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuzungumza kwa kutumia miundo changamani ya sentensi katika miktadha mbalimbali (sentensi ambatani na changamani),Sentensi Ambatani na Changamani katika Mazungumzo,13,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuzungumza kwa kutumia miundo changamani ya sentensi ambatani na changamani katika miktadha mbalimbali.,Chati ya aina za sentensi|Kadi za viunganishi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Sentensi ambatani huundwa kwa kuunganisha sentensi sahili mbili au zaidi zenye uzito sawa, wakati sentensi changamani huwa na sentensi kuu na sentensi tegemezi.","Viunganishi kama na, lakini, au hutumika kuunda sentensi ambatani, wakati viunganishi kama kwa sababu, ingawa, ambaye hutumika kuunda sentensi changamani zenye kishazi tegemezi. Uwezo wa kuzungumza kwa kutumia miundo hii huongeza ufasaha na kina cha mawazo yanayowasilishwa. Mzungumzaji stadi hutumia miundo hii kuunganisha mawazo kwa ufanisi bila kuchanganya wasikilizaji.",Mfano wa sentensi ambatani: Mvua ilinyesha na wanafunzi walikimbilia madarasani. Mfano wa sentensi changamani: Mwanafunzi aliyefanya bidii alifaulu mtihani wake.,Wanafunzi hutumia sentensi ambatani na changamani wanapoeleza sababu na matokeo ya matukio wanayoyaona nyumbani au shuleni.,"Sentensi ambatani ni nini?::Ni sentensi inayoundwa kwa kuunganisha sentensi sahili mbili au zaidi zenye uzito sawa kwa kutumia kiunganishi.||Taja kiunganishi kimoja kinachotumika kuunda sentensi changamani.::Kwa sababu, ingawa, au ambaye.||Andika sentensi changamani moja kwa kutumia kiunganishi kwa sababu.::Mfano: Alishinda tuzo kwa sababu alifanya bidii darasani.",
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuandika matini fupi kwa kutumia miundo changamani ya sentensi,Kuandika Matini kwa Miundo Changamani ya Sentensi,13,Kazimradi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika matini fupi kwa kutumia miundo changamani ya sentensi.,Mifano ya matini|Karatasi na kalamu|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Uandishi wa matini fupi wenye ubora hutegemea matumizi ya miundo mbalimbali ya sentensi ili kuepuka mtiririko wa kimonotoni.,"Mwandishi stadi huchanganya sentensi sahili, ambatani na changamani ili kuipa matini mtiririko wa asili na kuvutia. Matumizi ya sentensi changamani huruhusu mwandishi kuunganisha mawazo mengi katika sentensi moja bila kuchosha msomaji. Ni muhimu kuepuka sentensi ndefu kupita kiasi zinazoweza kuchanganya maana.","Mfano wa matini: Ingawa mvua ilinyesha kwa nguvu, wanafunzi waliendelea na mazoezi ya viwanja kwa sababu walikuwa wamejiandaa vizuri.",Wanafunzi huandika taarifa fupi za matukio ya shuleni kwa kuchanganya miundo ya sentensi ili kuvutia wasomaji wao.,"Kwa nini ni muhimu kuchanganya miundo ya sentensi katika matini?::Huipa matini mtiririko unaovutia na kuepusha ukakasi wa kimonotoni.||Taja aina tatu za sentensi zinazoweza kutumika katika matini.::Sentensi sahili, ambatani na changamani.||Andika sentensi changamani inayoeleza sababu ya jambo fulani shuleni.::Mfano: Shule ilifungwa mapema kwa sababu kulikuwa na dharura ya kiafya.",
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,"Kusikiliza habari changamani kwa umakini, udadisi na kuuliza maswali",Kusikiliza Habari Changamani kwa Umakini na Udadisi,12,Maswali na majibu,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kusikiliza habari changamani kwa umakini, udadisi na kuuliza maswali yanayohusiana nazo.",Kinasa sauti|Redio|Kadi za maswali,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Udadisi ni hulka muhimu ya msikilizaji makini inayomfanya auliza maswali ya kuchunguza zaidi kile alichokisikia.,"Msikilizaji mdadisi hachukulii kila taarifa kama ya kweli bila kuihoji, bali huuliza maswali ya nani, lini, wapi, kwa nini na jinsi gani ili kupata uelewa wa kina wa habari. Umakini huhusisha kutosumbuliwa na vikwazo vya nje wakati wa kusikiliza, na kuweka kumbukumbu ya hoja muhimu. Stadi hii huimarisha uwezo wa uchambuzi na tathmini ya taarifa.","Mfano, baada ya kusikiliza habari kuhusu ongezeko la bei za bidhaa, mwanafunzi mdadisi aweza kuuliza Kwa nini bei zimepanda hivi karibuni?",Wanafunzi husikiliza taarifa za habari na kuuliza maswali ya ufafanuzi kwa walimu au wazazi ili kupata uelewa zaidi.,Udadisi ni nini katika muktadha wa usikilizaji?::Ni hulka ya kuuliza maswali ya kuchunguza zaidi habari iliyosikilizwa.||Taja swali moja la kiudadisi linaloweza kuulizwa baada ya kusikiliza habari.::Kwa nini jambo hili limetokea? au Lilitokea lini?||Kwa nini umakini ni muhimu wakati wa kusikiliza habari changamani?::Huwezesha msikilizaji kuelewa taarifa kwa usahihi na kuepuka kupotosha ujumbe.,
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,Kusikiliza mijadala/habari changamani na kuwasilisha mawazo makuu aliyoyapata kwa kuzingatia uwazi na uwekevu,Kuwasilisha Mawazo Makuu kwa Uwazi na Uwekevu,12,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusikiliza mijadala au habari changamani na kuwasilisha mawazo makuu aliyoyapata kwa kuzingatia uwazi na uwekevu.,Kinasa sauti|Karatasi za kunakili|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Uwasilishaji wa mawazo makuu unahitaji msikilizaji kuchambua taarifa kwa uwazi na uwekevu ili yasieleweke kwa utata.,"Uwazi humaanisha kuwasilisha mawazo kwa lugha rahisi na iliyo bayana, wakati uwekevu ni umakini na uangalifu wa kuepuka makosa au upotoshaji wa taarifa. Msikilizaji anayewasilisha mawazo makuu vizuri hupanga hoja kwa mfuatano wa kimantiki na huepuka maelezo yasiyo na umuhimu. Stadi hii ni muhimu katika taaluma mbalimbali zinazohitaji usahihi wa taarifa.","Mfano, baada ya kusikiliza mjadala wa mazingira, mwanafunzi aweza kuwasilisha kwa uwazi kwamba wazungumzaji wote walikubaliana juu ya umuhimu wa kupanda miti.",Wanafunzi huwasilisha kwa wenzao mawazo makuu ya mikutano ya shule kwa uwazi ili wote waelewe maamuzi yaliyofikiwa.,Uwazi katika uwasilishaji wa mawazo unamaanisha nini?::Ni kuwasilisha mawazo kwa lugha rahisi na iliyo bayana isiyo na utata.||Uwekevu una maana gani katika usikilizaji na uwasilishaji?::Ni umakini na uangalifu wa kuepuka makosa au upotoshaji wa taarifa.||Kwa nini ni muhimu kupanga hoja kwa mfuatano wa kimantiki?::Ili wasikilizaji waweze kufuatilia na kuelewa mawazo kwa urahisi.,
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini ndefu changamani kwa kina na utunduizi,Kusoma Matini Ndefu kwa Kina na Utunduizi,12,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusoma matini ndefu changamani kwa kina na utunduizi.,Vitabu vya hadithi|Matini ndefu|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Usomaji wa kina na utunduizi ni ustadi wa kusoma kwa uangalifu mkubwa ili kubaini maana za wazi na za dhahiri zilizofichika ndani ya matini.,"Msomaji mtunduizi hachukulii maandishi kijuujuu bali huchambua kila sehemu ya matini akitafuta uhusiano wa mawazo, dhamira ya mwandishi na ujumbe uliojificha. Usomaji wa kina huhusisha kusimama katika sehemu ngumu, kurudia usomaji na kuuliza maswali binafsi kuhusu kile kinachosomwa. Stadi hii ni muhimu hasa katika kusoma matini za kifasihi na kihoja.","Mfano, katika kusoma hadithi ndefu kuhusu ukame, msomaji mtunduizi aweza kubaini kwamba mwandishi analenga kuonya jamii kuhusu uharibifu wa mazingira, sio tu kusimulia tukio.",Wanafunzi husoma vitabu vya ziada na magazeti kwa kina ili kupata uelewa mpana wa masuala ya kijamii.,"Utunduizi katika usomaji unamaanisha nini?::Ni usomaji wa kina unaobainisha maana zilizo wazi na zilizofichika katika matini.||Kwa nini msomaji anapaswa kusimama katika sehemu ngumu za matini?::Ili aelewe vizuri kabla ya kuendelea na sehemu nyingine, na kuepuka kukosa maana muhimu.||Taja stadi moja inayosaidia usomaji wa kina.::Kuuliza maswali binafsi kuhusu kinachosomwa au kurudia usomaji wa sehemu ngumu.",
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,"Kusoma matini ndefu changamani, kuandika muhtasari wa hoja kuu zilizomo na kutoa maoni juu ya hoja hizo",Muhtasari na Maoni juu ya Hoja za Matini Ndefu,12,Kazimradi,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kusoma matini ndefu changamani, kuandika muhtasari wa hoja kuu zilizomo na kutoa maoni juu ya hoja hizo.",Matini ndefu|Karatasi za kunakili|Kalamu,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Baada ya kusoma matini ndefu, msomaji hutakiwa si tu kufupisha hoja kuu bali pia kutoa maoni yake binafsi kuhusu hoja hizo.","Kuandika muhtasari kunahitaji kubaini na kunakili hoja kuu pekee kwa maneno mafupi, huku kuepuka maelezo ya ziada yasiyo ya lazima. Kutoa maoni huhitaji msomaji achambue kama anakubaliana au hakubaliani na hoja alizozisoma, akitoa sababu za msimamo wake. Uwezo huu wa kutathmini huonyesha kiwango cha juu cha ufahamu wa usomaji.","Mfano, baada ya kusoma matini kuhusu ndoa za utotoni, mwanafunzi aweza kuandika muhtasari wa hoja tatu kuu na kisha kutoa maoni yake kwamba hoja hizo ni sahihi kwa sababu zinaendana na sheria za nchi.",Wanafunzi husoma makala za magazeti na kutoa maoni yao katika mijadala ya darasani au majarida ya shule.,Ni tofauti gani kati ya muhtasari na maoni?::Muhtasari ni ufupisho wa hoja kuu wakati maoni ni tathmini au msimamo wa msomaji kuhusu hoja hizo.||Kwa nini ni muhimu kutoa sababu wakati wa kutoa maoni?::Ili kuthibitisha msimamo wako na kuufanya uwe wa kimantiki na wenye mashiko.||Taja hatua moja ya kwanza kabla ya kuandika muhtasari wa matini ndefu.::Kusoma matini kwa makini ili kubaini hoja kuu.,
2023-JSS015-Kidato II,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,"Kuzungumza kwa kutumia mitindo mbalimbali ya lugha ya mazungumzo na kwa kuzingatia miktadha, umri, jinsia na uhusiano",Mitindo ya Lugha ya Mazungumzo kwa Muktadha na Umri,12,Igizo,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kuzungumza kwa kutumia mitindo mbalimbali ya lugha ya mazungumzo kwa kuzingatia miktadha, umri, jinsia na uhusiano.",Kadi za majukumu|Vifaa vya kuigiza|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Mtindo wa lugha hubadilika kulingana na nani anayezungumzwa naye, uhusiano uliopo, na hali ya kijamii inayozunguka mazungumzo hayo.","Mzungumzaji stadi hutumia mtindo tofauti anapozungumza na mtu mzee kuliko anapozungumza na rika lake, na huzingatia pia jinsia na uhusiano wa kifamilia au kikazi. Mitindo hii hujumuisha kiwango cha heshima, uchaguzi wa msamiati na hata kiimbo. Uelewa wa mitindo hii huimarisha umilisi wa lugha katika jamii yenye tabaka mbalimbali za kijamii.","Mfano, mwanafunzi anapozungumza na babu yake hutumia lugha ya heshima zaidi ukilinganisha na anapozungumza na rafiki yake wa shule.","Wanafunzi hubadilisha mitindo ya mazungumzo wanapozungumza na walimu, wazazi na wenzao ili kuendana na uhusiano na hadhi ya kila mmoja.","Nini kinaathiri uchaguzi wa mtindo wa lugha ya mazungumzo?::Muktadha, umri, jinsia na uhusiano baina ya wazungumzaji.||Toa mfano wa mtindo wa lugha unaofaa kutumika kwa mtu mzee.::Lugha ya heshima yenye tafsida, mfano: Shikamoo babu, hujambo?||Kwa nini ni muhimu kubadilisha mtindo wa lugha kulingana na uhusiano?::Ili kuonyesha heshima inayostahili na kuepuka kutoelewana kijamii.",
2023-JSS015-Kidato II,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,Kutumia kwa usahihi ishara zinazoambatana na mazungumzo katika kuwasiliana,Matumizi Sahihi ya Ishara Zinazoambatana na Mazungumzo,12,Igizo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia kwa usahihi ishara zinazoambatana na mazungumzo katika kuwasiliana.,Video za mazungumzo|Vioo|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Ishara za mwili kama vile mikono, sura ya uso na mkao huambatana na maneno kuimarisha ujumbe unaowasilishwa katika mazungumzo.","Mawasiliano si maneno pekee, bali huhusisha pia lugha ya mwili inayosaidia kusisitiza, kupinga au kuongeza maana ya kile kinachosemwa. Matumizi sahihi ya ishara huzingatia utamaduni wa jamii husika kwani ishara moja yaweza kuwa na maana tofauti katika jamii tofauti. Mzungumzaji stadi huoanisha ishara zake na maneno ili asilete mkanganyiko kwa msikilizaji.","Mfano, kutikisa kichwa juu chini wakati wa kuzungumza kunaweza kuambatana na neno ndiyo kuonyesha ukubalifu wa jambo.",Wanafunzi hutumia ishara za mikono na sura wanapotoa mawasilisho darasani ili kusisitiza hoja zao.,Ishara zinazoambatana na mazungumzo zina umuhimu gani?::Husaidia kusisitiza au kuongeza maana ya ujumbe unaowasilishwa kwa maneno.||Toa mfano wa ishara moja inayoonyesha ukubalifu.::Kutikisa kichwa juu chini.||Kwa nini ni muhimu kuzingatia utamaduni wakati wa kutumia ishara?::Kwa sababu ishara moja inaweza kuwa na maana tofauti katika tamaduni tofauti.,
