subject_version_code,main_competence_name,specific_competence_name
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini vyakula vya Kitanzania
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini mavazi ya Kitanzania
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuonesha matendo ya kiimani kulingana na imani yake
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuheshimu imani za watu wengine
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kuzungumza katika miktadha mbalimbali
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusoma katika hatua za awali
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kuandika katika hatua za awali
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kuwasiliana katika miktadha mbalimbali
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine
2023-JSS011-Awali,Kuhusiana,Kutawala hisia katika miktadha mbalimbali
2023-JSS011-Awali,Kuhusiana,Kumudu stadi za kujitegemea
2023-JSS011-Awali,Kuhusiana,Kumudu stadi za kushirikiana
2023-JSS011-Awali,Kuhusiana,Kutatua changamoto katika maisha ya kila siku
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili
2023-JSS012-Awali,Afya na Mazingira,Kuthamini vyakula vya aina mbalimbali
2023-JSS012-Awali,Afya na Mazingira,Kutunza vyombo vya chakula
2023-JSS012-Awali,Afya na Mazingira,Kuchunguza vitu vilivyopo katika mazingira
2023-JSS012-Awali,Afya na Mazingira,Kusafisha mazingira
2023-JSS012-Awali,Afya na Mazingira,Kuepuka mazingira hatarishi
2023-JSS012-Awali,Afya na Mazingira,Kuchukua tahadhari dhidi ya magonjwa mbalimbali
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kufanya majaribio ya Kisayansi
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia vifaa vya TEHAMA kuwasiliana katika miktadha mbalimbali
2023-JSS014-DRS III,Demonstrate mastery of basic English Language skills,Develop listening and speaking skills
2023-JSS014-DRS III,Demonstrate mastery of basic English Language skills,Develop phonemic awareness and pronunciation of English letters
2023-JSS014-DRS III,Demonstrate mastery of basic English Language skills,Use appropriate grammar and vocabulary both orally and in writing
2023-JSS014-DRS III,Comprehend oral and written information,Read a variety of simple texts appropriately
2023-JSS014-DRS III,Communicate effectively in different contexts,Demonstrate knowledge of the basic features of spoken language
2023-JSS015-DRS III,Kuwasiliana katika miktadha mbalimbali,"Kutambua matamshi ya sauti mbalimbali katika silabi, maneno, sentensi na habari"
2023-JSS015-DRS III,Kuwasiliana katika miktadha mbalimbali,Kuendeleza mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS III,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-DRS III,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuandika matini mbalimbali
2023-JSS015-DRS III,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuchanganua mawazo yaliyowasilishwa katika matini mbalimbali
2023-JSS015-DRS III,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuonesha stadi za awali za ubunifu wa kazi mbalimbali za Kiswahili
2023-JSS016-DRS III,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi
2023-JSS016-DRS III,Kumudu nadharia za kisayansi,Kufanya uchunguzi sahili wa kisayansi
2023-JSS016-DRS III,Kumudu stadi za awali za kisayansi,Kufanya majaribio sahili ya kisayansi
2023-JSS016-DRS III,Kumudu matumizi ya TEHAMA,Kutumia TEHAMA katika ujifunzaji
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika
2023-JSS003-DRS I,Kuandika,Kumudu stadi za kuandika
2023-JSS003-DRS I,Kuandika,Kutumia kanuni za uandishi
2023-JSS003-DRS II,Kuandika,Kutumia kanuni za uandishi
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati
2023-JSS002-DRS I,Kuhesabu,Kutumia dhana za kihisabati
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati
2023-JSS002-DRS II,Kuhesabu,Kutumia dhana za kihisabati
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa dhana ya namba (iv)
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa matendo ya namba (iv)
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa vipimo (iv)
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za maumbo (iv)
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za namba (iv)
2023-JSS001-DRS IV,Kumudu matumizi ya stadi za kihisabati (iv),Kuonesha uelewa wa hesabu za muda (iv)
2023-JSS001-DRS IV,Kumudu matumizi ya stadi za kihisabati (iv),Kuonesha uelewa wa hesabu za fedha (iv)
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku
2023-JSS017-DRS III,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa sura ya nchi
2023-JSS017-DRS III,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa elimu ya kutunza mazingira
2023-JSS018-DRS III,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji
2023-JSS018-DRS III,Kubuni kazi za sanaa,Kuchora picha
2023-JSS018-DRS III,Kubuni kazi za sanaa,Kufinyanga maumbo mbalimbali
2023-JSS018-DRS III,"Kuimarisha afya, stadi na ushindani",Kumudu mazoezi ya viungo
2023-JSS018-DRS III,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya asili
2023-JSS018-DRS III,Kumudu stadi za maonesho ya kazi za sanaa na michezo,Kushiriki katika maonesho ya kazi za sanaa na michezo
2023-JSS019-DRS III,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa","Kumudu dhana ya Historia ya Tanzania, urithi na maadili"
2023-JSS019-DRS III,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kumudu maarifa ya jamii inayomzunguka
2023-JSS019-DRS III,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa","Kutumia maarifa na ujuzi wa asili wa jamii inayomzunguka kusimulia asili, urithi, na maadili ya jamii husika"
2023-JSS019-DRS III,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kutathmini ushirikiano baina ya jamii za Kitanzania katika kujenga uhusiano wa kijamii na kiuchumi
2023-JSS019-DRS III,Kumudu Historia ya Tanzania na Maadili kabla ya ukoloni,Kuelezea mifumo mbalimbali ya utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni
2023-JSS017-DRS IV,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku
2023-JSS019-DRS IV,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kumudu maarifa ya jamii inayomzunguka
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza maendeleo ya jamii za Kitanzania na maadili yake kabla ya ukoloni
2023-JSS019-DRS IV,Kumudu historia ya ujenzi wa Taifa na maadili katika kipindi cha 1961-1966,Kutumia Alama za Taifa kama utambulisho wa Tanzania
2023-JSS015-DRS IV,Kuwasiliana katika miktadha mbalimbali,Kuendeleza mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS IV,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali
2023-JSS015-DRS IV,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa
2023-JSS015-DRS IV,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-DRS IV,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS IV,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuchanganua mawazo yaliyowasilishwa katika matini mbalimbali
2023-JSS015-DRS IV,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuonesha stadi za awali za ubunifu wa kazi mbalimbali za Kiswahili
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kufanya uchunguzi sahili wa kisayansi
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa aina za nishati na matumizi yake
2023-JSS016-DRS IV,Kumudu stadi za awali za kisayansi,Kufanya majaribio sahili ya kisayansi
2023-JSS016-DRS IV,Kumudu matumizi ya TEHAMA,Kutumia TEHAMA katika ujifunzaji
2023-JSS016-DRS IV,Kubuni programu sahili za kompyuta,Kubuni programu sahili za kompyuta
2023-JSS018-DRS IV,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji
2023-JSS018-DRS IV,Kubuni kazi za sanaa,Kuchora picha
2023-JSS018-DRS IV,Kubuni kazi za sanaa,Kufinyanga maumbo mbalimbali
2023-JSS018-DRS IV,"Kuimarisha afya, stadi na ushindani",Kumudu mazoezi ya viungo
2023-JSS018-DRS IV,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya asili
2023-JSS018-DRS IV,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya kisasa
2023-JSS018-DRS IV,Kumudu stadi za maonesho ya kazi za sanaa na michezo,Kushiriki katika maonesho ya kazi za sanaa na michezo
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills,Use appropriate grammar and vocabulary both orally and in writing
2023-JSS014-DRS IV,Comprehend oral and written information,Respond appropriately in a familiar communicative context
2023-JSS014-DRS IV,Comprehend oral and written information,Read appropriately a variety of simple texts
2023-JSS014-DRS IV,Communicate effectively in different contexts,Demonstrate knowledge of the basic features of spoken language
2023-JSS014-DRS IV,Communicate effectively in different contexts,Produce short written messages using appropriate grammar and vocabulary
2023-JSS014-DRS IV,Communicate effectively in different contexts,Demonstrate basic skills in creative writing
2023-JSS015-DRS V,Kuwasiliana katika miktadha mbalimbali,Kuendeleza mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS V,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali
2023-JSS015-DRS V,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa
2023-JSS015-DRS V,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu
2023-JSS015-DRS V,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS V,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuandika matini mbalimbali kuzingatia vipengele vya insha
2023-JSS015-DRS V,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuchanganua mawazo yaliyowasilishwa katika matini mbalimbali
2023-JSS015-DRS V,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuonesha stadi za awali za ubunifu wa kazi mbalimbali za Kiswahili
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Use appropriate grammar and vocabulary both orally and in writing
2023-JSS014-DRS V,Comprehend oral and written information,Comprehend information presented orally
2023-JSS014-DRS V,Comprehend oral and written information,Construct meaning from simple texts
2023-JSS014-DRS V,Comprehend oral and written information,Respond appropriately in a familiar communicative context
2023-JSS014-DRS V,Comprehend oral and written information,Read appropriately a variety of simple texts
2023-JSS014-DRS V,Communicate effectively in a different context,Demonstrate knowledge of the basic features of spoken language
2023-JSS014-DRS V,Communicate effectively in a different context,Produce short and basic oral messages with a logical structure and intelligible pronunciation
2023-JSS014-DRS V,Communicate effectively in a different context,Produce short written messages using appropriate grammar and vocabulary
2023-JSS014-DRS V,Communicate effectively in a different context,Demonstrate basic skills in creative writing
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi
2023-JSS016-DRS V,Kumudu nadharia za kisayansi,"Kuonesha uelewa wa aina za nishati na matumizi yake (maana, tabia na matumizi)"
2023-JSS016-DRS V,Kumudu stadi za awali za kisayansi,Kufanya majaribio sahili ya ukuaji katika wanyama na mimea
2023-JSS016-DRS V,Kubuni programu sahili za kompyuta,Kubuni programu sahili za kompyuta
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kuchora picha
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kufinyanga maumbo mbalimbali
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kutengeneza vitu kwa kutumia makunzi mbalimbali
2023-JSS018-DRS V,"Kuimarisha afya, stadi na ushindani",Kumudu mazoezi ya viungo
2023-JSS018-DRS V,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya asili
2023-JSS018-DRS V,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya kisasa
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea historia ya Tanzania na urithi wakati wa ukoloni
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kulinganisha mabadiliko na mwendelezo wa maadili kabla na wakati wa ukoloni
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960,Kuelezea jitahada za kulinda maadili ya Kitanzania dhidi ya maadili ya kigeni yaliyoletwa wakati wa ukoloni
2023-JSS019-DRS V,Kumudu historia ya ujenzi wa Taifa na maadili katika kipindi cha 1961-1966,Kuelezea mchango wa Tunu na Alama za Taifa katika kujenga umoja wa kitaifa na uzalendo
2023-JSS017-DRS V,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa rasilimali asilia kuu za Tanzania
2023-JSS017-DRS V,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa uhusiano kati ya rasilimali asilia na maendeleo
2023-JSS017-DRS V,Kumudu stadi za awali za Jiografia ya binadamu,Kuonesha uelewa wa awali wa uhusiano kati ya mtawanyiko wa watu na matumizi ya rasilimali
2023-JSS017-DRS V,Kumudu misingi ya awali ya kutunza mazingira,Kuonesha uelewa wa awali wa dhana ya tabianchi na uhusiano wake na shughuli za kiuchumi
2023-JSS016-DRS VI,Kumudu nadharia za kisayansi,Kuonesha uelewa wa mfumo wa upumuaji katika wanyama na mimea
2023-JSS016-DRS VI,Kumudu nadharia za kisayansi,"Kuonesha uelewa wa aina za nishati na matumizi yake (maana, vyanzo na matumizi)"
2023-JSS016-DRS VI,Kumudu stadi za awali za kisayansi,Kufanya majaribio sahili ya kubaini vitu vyenye tindikali au nyongo katika mazingira
2023-JSS018-DRS VI,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji
2023-JSS018-DRS VI,Kubuni kazi za sanaa,Kuchora picha
2023-JSS018-DRS VI,"Kuimarisha afya, stadi na ushindani",Kumudu mazoezi ya ustahimilivu (endurance)
2023-JSS018-DRS VI,"Kuimarisha afya, stadi na ushindani",Kucheza michezo ya asili
2023-JSS018-DRS VI,"Kuimarisha afya, stadi na ushindani",Kucheza michezo mikubwa
2023-JSS017-DRS VI,Kumudu stadi za awali za ramani na mfumo wa jua,Kuonesha uelewa wa awali wa elimu ya mfumo wa jua
2023-JSS017-DRS VI,Kumudu stadi za awali za sura ya nchi,Kuonesha uelewa wa awali wa sura ya nchi
2023-JSS017-DRS VI,Kumudu stadi za awali za Jiografia ya binadamu,Kuonesha uelewa wa vyanzo vya taarifa za idadi ya watu na makazi
2023-JSS017-DRS VI,Kumudu misingi ya kutunza mazingira,Kuonesha uelewa wa awali wa dhana ya tabianchi na uhusiano wake na shughuli za kiuchumi
2023-JSS019-DRS VI,Kumudu Historia ya Ujenzi wa Taifa na Maadili katika Kipindi cha 1961-1966,Kumudu historia ya ujenzi wa Taifa na maadili baada ya uhuru katika kipindi cha 1961-1966
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea Misingi na Maadili ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea mchango wa Tanzania katika mapambano dhidi ya ukoloni na ukandamizaji
2023-JSS019-DRS VI,Kutathmini Historia ya Tanzania na Maadili wakati wa Uliberali 1986 hadi sasa,Kufafanua dhana ya uliberali kwa kuhusianisha na maadili ya Kitanzania
2023-JSS019-DRS VI,Kutathmini Historia ya Tanzania na Maadili wakati wa Uliberali 1986 hadi sasa,Kutumia maarifa na ujuzi wa historia ya Tanzania na maadili kufanya uamuzi sahihi katika nyakati za uliberali
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kuendeleza mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali
2023-JSS015-DRS VI,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuchanganua mawazo yaliyowasilishwa katika matini mbalimbali
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuonesha stadi za awali za ubunifu wa kazi mbalimbali za Kiswahili
2023-JSS014-DRS VI,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment
2023-JSS014-DRS VI,Demonstrate mastery of basic English language skills,Use appropriate grammar and vocabulary both orally and in writing
2023-JSS014-DRS VI,Comprehend oral and written information,Comprehend information presented orally
2023-JSS014-DRS VI,Comprehend oral and written information,Construct meaning from simple texts
2023-JSS014-DRS VI,Comprehend oral and written information,Respond appropriately in a familiar communicative context
2023-JSS014-DRS VI,Communicate effectively in different contexts,Demonstrate knowledge of the basic features of spoken language
2023-JSS014-DRS VI,Communicate effectively in different contexts,Produce short and basic oral messages with a logical structure and intelligible pronunciation
2023-JSS014-DRS VI,Communicate effectively in different contexts,Produce short written messages using appropriate grammar and vocabulary
2023-JSS014-DRS VI,Communicate effectively in different contexts,Demonstrate basic skills in creative writing
2023-JSS014-Kidato I,Communicate effectively in different contexts,Create a variety of texts for different communicative purposes using the appropriate tone and register
2023-JSS014-Kidato I,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts
2023-JSS014-Kidato I,Comprehend oral and written information,Comprehend oral messages with increasing difficulty
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension
2023-JSS014-Kidato I,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning,Use ICT tools to search for information from different sources
2023-JSS014-Kidato II,Communicate effectively in different contexts,Create a variety of texts for different communicative purposes using the appropriate tone and register
2023-JSS014-Kidato II,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts
2023-JSS014-Kidato II,Comprehend oral and written information,Comprehend oral messages with increasing difficulty
2023-JSS014-Kidato II,Comprehend oral and written information,Read texts for comprehension
2023-JSS014-Kidato II,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Develop listening skills
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks
2023-JSS014-Kidato III,Appreciate and create literary works,Analyse genres of literature and appreciate their conventions
2023-JSS014-Kidato III,Appreciate and create literary works,Appreciate the aesthetics and value of literature
2023-JSS014-Kidato III,Appreciate and create literary works,Create simple literary works
2023-JSS014-Kidato III,Appreciate and create literary works,"Evaluate the context in which literary texts are written, read and understood"
2023-JSS014-Kidato III,Communicate effectively in different contexts,Create a variety of texts for different communicative purposes using the appropriate tone and register
2023-JSS014-Kidato III,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts
2023-JSS014-Kidato III,Comprehend oral and written information,Comprehend oral messages with increasing difficulty
2023-JSS014-Kidato III,Comprehend oral and written information,Construct meaning from a variety of texts
2023-JSS014-Kidato III,Comprehend oral and written information,Read texts for comprehension
2023-JSS014-Kidato III,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts
2023-JSS014-Kidato III,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks
2023-JSS014-Kidato III,Manage information search from different sources for lifelong learning,Organise information obtained from different sources
2023-JSS014-Kidato III,Provide basic English language services to the community,Apply principles of editing and proofreading in a variety of texts
2023-JSS014-Kidato III,Provide basic English language services to the community,Apply principles of interpretation to provide simple authentic interpretations
2023-JSS014-Kidato III,Provide basic English language services to the community,Apply principles of translation to produce simple authentic translation
2023-JSS014-Kidato IV,Appreciate and create literary works,Analyse genres of literature and appreciate their conventions
2023-JSS014-Kidato IV,Appreciate and create literary works,Appreciate the aesthetics and value of literature
2023-JSS014-Kidato IV,Appreciate and create literary works,Create simple literary works
2023-JSS014-Kidato IV,Appreciate and create literary works,"Evaluate the context in which literary texts are written, read and understood"
2023-JSS014-Kidato IV,Communicate effectively in different contexts,Conduct a socio-cultural analysis of functional texts
2023-JSS014-Kidato IV,Communicate effectively in different contexts,Create a variety of texts for different communicative purposes using the appropriate tone and register
2023-JSS014-Kidato IV,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts
2023-JSS014-Kidato IV,Comprehend oral and written information,Comprehend oral messages with increasing difficulty
2023-JSS014-Kidato IV,Comprehend oral and written information,Construct meaning from a variety of texts
2023-JSS014-Kidato IV,Comprehend oral and written information,Read texts for comprehension
2023-JSS014-Kidato IV,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks
2023-JSS014-Kidato IV,Provide basic English language services to the community,Apply principles of editing and proofreading in a variety of texts
2023-JSS014-Kidato IV,Provide basic English language services to the community,Apply principles of interpretation to provide simple authentic interpretations
2023-JSS014-Kidato IV,Provide basic English language services to the community,Apply principles of translation to produce simple authentic translation
2023-JSS014-Kidato IV,Provide basic English language services to the community,Manage short translation and editing projects using Computer-Assisted Tools
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the major features of the Earth surface
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography,Demonstrate an understanding of the basic techniques of map and photograph interpretation
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth,Demonstrate an understanding of the origin and the structure of the Earth and earth systems
