subject_version_code,name
2023-JSS015-DRS IV,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi
2023-JSS016-DRS IV,Kumudu stadi za awali za kisayansi
2023-JSS016-DRS IV,Kumudu matumizi ya TEHAMA
2023-JSS016-DRS IV,Kubuni programu sahili za kompyuta
2023-JSS018-DRS IV,Kubuni kazi za sanaa
2023-JSS018-DRS IV,"Kuimarisha afya, stadi na ushindani"
2023-JSS018-DRS IV,Kumudu stadi za maonesho ya kazi za sanaa na michezo
2023-JSS014-DRS IV,Demonstrate mastery of basic English language skills
2023-JSS014-DRS IV,Comprehend oral and written information
2023-JSS014-DRS IV,Communicate effectively in different contexts
2023-JSS015-DRS V,Kuwasiliana katika miktadha mbalimbali
2023-JSS015-DRS V,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma
2023-JSS015-DRS V,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills
2023-JSS014-DRS V,Comprehend oral and written information
2023-JSS014-DRS V,Communicate effectively in a different context
2023-JSS016-DRS V,Kumudu nadharia za kisayansi
2023-JSS016-DRS V,Kumudu stadi za awali za kisayansi
2023-JSS016-DRS V,Kubuni programu sahili za kompyuta
2023-JSS018-DRS V,Kubuni kazi za sanaa
2023-JSS018-DRS V,"Kuimarisha afya, stadi na ushindani"
2023-JSS019-DRS V,Kumudu Historia ya Tanzania na Maadili wakati wa ukoloni 1890-1960
2023-JSS019-DRS V,Kumudu historia ya ujenzi wa Taifa na maadili katika kipindi cha 1961-1966
2023-JSS017-DRS V,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo
2023-JSS017-DRS V,Kumudu stadi za awali za Jiografia ya binadamu
2023-JSS017-DRS V,Kumudu misingi ya awali ya kutunza mazingira
2023-JSS016-DRS VI,Kumudu nadharia za kisayansi
2023-JSS016-DRS VI,Kumudu stadi za awali za kisayansi
2023-JSS018-DRS VI,Kubuni kazi za sanaa
2023-JSS018-DRS VI,"Kuimarisha afya, stadi na ushindani"
2023-JSS017-DRS VI,Kumudu stadi za awali za ramani na mfumo wa jua
2023-JSS017-DRS VI,Kumudu stadi za awali za sura ya nchi
2023-JSS017-DRS VI,Kumudu stadi za awali za Jiografia ya binadamu
2023-JSS017-DRS VI,Kumudu misingi ya kutunza mazingira
2023-JSS019-DRS VI,Kumudu Historia ya Ujenzi wa Taifa na Maadili katika Kipindi cha 1961-1966
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985
2023-JSS019-DRS VI,Kutathmini Historia ya Tanzania na Maadili wakati wa Uliberali 1986 hadi sasa
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali
2023-JSS015-DRS VI,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha
2023-JSS014-DRS VI,Demonstrate mastery of basic English language skills
2023-JSS014-DRS VI,Comprehend oral and written information
2023-JSS014-DRS VI,Communicate effectively in different contexts
2023-JSS014-Kidato I,Communicate effectively in different contexts
2023-JSS014-Kidato I,Comprehend oral and written information
2023-JSS014-Kidato I,Demonstrate mastery of English language skills
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning
2023-JSS014-Kidato II,Communicate effectively in different contexts
2023-JSS014-Kidato II,Comprehend oral and written information
2023-JSS014-Kidato II,Demonstrate mastery of English language skills
2023-JSS014-Kidato III,Appreciate and create literary works
2023-JSS014-Kidato III,Communicate effectively in different contexts
2023-JSS014-Kidato III,Comprehend oral and written information
2023-JSS014-Kidato III,Demonstrate mastery of English language skills
2023-JSS014-Kidato III,Manage information search from different sources for lifelong learning
2023-JSS014-Kidato III,Provide basic English language services to the community
2023-JSS014-Kidato IV,Appreciate and create literary works
2023-JSS014-Kidato IV,Communicate effectively in different contexts
2023-JSS014-Kidato IV,Comprehend oral and written information
2023-JSS014-Kidato IV,Demonstrate mastery of English language skills
2023-JSS014-Kidato IV,Provide basic English language services to the community
2023-JSS017-Kidato I,Demonstrate mastery of the structure of the Earth
2023-JSS017-Kidato II,Demonstrate mastery of basic skills and techniques in Geography
2023-JSS017-Kidato II,Demonstrate mastery of the structure of the Earth
2023-JSS017-Kidato III,Demonstrate mastery of basic skills and techniques in Geography
2023-JSS017-Kidato III,Demonstrate mastery of human geography
2023-JSS017-Kidato III,Demonstrate mastery of the structure of the Earth
2023-JSS017-Kidato IV,Demonstrate mastery of human geography
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge
2023-JSS024-Kidato II,Apply business knowledge in various contexts
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge
2023-JSS024-Kidato II,Solve social challenges using business skills
2023-JSS024-Kidato III,Apply business knowledge in various contexts
2023-JSS024-Kidato III,Demonstrate mastery of business knowledge
2023-JSS024-Kidato III,Solve social challenges using business skills
2023-JSS024-Kidato IV,Apply business knowledge in various contexts
2023-JSS024-Kidato IV,Demonstrate mastery of business knowledge
2023-JSS024-Kidato IV,Solve social challenges using business skills
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping
2023-JSS023-Kidato I,Prepare basic financial statements
2023-JSS023-Kidato II,Demonstrate mastery of financial assets control
2023-JSS023-Kidato II,Demonstrate mastery of the principles of Book-keeping
2023-JSS023-Kidato III,Demonstrate mastery of financial assets control
2023-JSS023-Kidato III,Prepare basic financial statements
2023-JSS023-Kidato III,Prepare financial statements for non-commercial institutions
2023-JSS023-Kidato IV,Demonstrate mastery of the use of ICT in Book-keeping
2023-JSS023-Kidato IV,Prepare basic financial statements
2023-JSS021-Kidato I,Conduct experiments in Chemistry
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry"
2023-JSS021-Kidato II,Conduct experiments in Chemistry
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry"
2023-JSS021-Kidato III,Conduct a project in Chemistry
2023-JSS021-Kidato III,Conduct experiments in Chemistry
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry"
2023-JSS021-Kidato III,Demonstrate mastery of basic principles of extraction of metals
2023-JSS021-Kidato IV,Conduct a project in Chemistry
2023-JSS021-Kidato IV,Conduct experiments in Chemistry
2023-JSS021-Kidato IV,"Demonstrate mastery of basic concepts, theories and principles in Chemistry"
2023-JSS021-Kidato IV,Demonstrate mastery of basic terminologies in Chemistry
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali
2023-JSS015-Kidato II,Kumudu lugha ya mazungumzo na ya maandishi
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili
2023-JSS015-Kidato II,Kuwasiliana katika miktadha mbalimbali
2023-JSS015-Kidato III,Kumudu lugha ya mazungumzo na ya maandishi
2023-JSS015-Kidato III,Kumudu misingi ya Kiswahili
2023-JSS015-Kidato III,Kuthamini kazi za fasihi ya Kiswahili
2023-JSS015-Kidato III,Kutoa huduma ya lugha ya Kiswahili katika jamii
2023-JSS015-Kidato III,Kuwasiliana katika miktadha mbalimbali
2023-JSS015-Kidato IV,Kuthamini kazi za fasihi ya Kiswahili
2023-JSS015-Kidato IV,Kutoa huduma ya lugha ya Kiswahili katika jamii
2023-JSS015-Kidato IV,Kuwasiliana katika miktadha mbalimbali
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa
2023-JSS020-Kidato I,Communicating using scientific biological terminologies
2023-JSS020-Kidato I,Conduct biological investigations
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology"
2023-JSS020-Kidato II,Conduct biological investigations
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology"
2023-JSS020-Kidato III,Conduct biological investigations
2023-JSS020-Kidato III,"Demonstrate mastery of the concepts, principles and processes of Biology"
2023-JSS020-Kidato IV,Conduct biological investigations
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology"
